Codigo	Nome	Nome_iupac	Familia	Especie	Smile	HBA	HBD	Atividade_biologica	Localizacao	Localizacao_arquivo	massa_molecular	Formula_molecular	Logp	Referencia	Data	Datamod	Hora	Tipo
VE0QFA0AF	Alfa-pineno	(1S,5S)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene	COCHLOSPERMACEAE	Cochlospermum regium (Schrank) Pilger	CC1=CC[C@H]2C[C@@H]1C2(C)C	0	0	Antibacterial, antifungal, mosluscicida and stimulating effect of uterine musculature.	Ocorre no cerrado e na caatinga, sendo citada para Mato grosso, Goiás, Minas Gerais, São Paulo, Paraná.	Molecules\VE0QFA0AF.mol	136.23	C10H16	3542	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 168.	2012-7-8	2014-22-30	9:16:31	Natural
VE0RFA0AF	Alfa-selineno	(2R,4aR,8aR)-4a,8-dimethyl-2-(prop-1-en-2-yl)-1,2,3,4,4a,5,6,8a-octahydronaphthalene	COCHLOSPERMACEAE	Cochlospermum regium (Schrank) Pilger	CC(=C)[C@@H]1CC[C@@]2(C)CCC=C(C)[C@@H]2C1	0	0	Antibacterial, antifungal, mosluscicida and stimulating effect of uterine musculature.	Ocorre no cerrado e na caatinga, sendo citada para Mato grosso, Goiás, Minas Gerais, São Paulo, Paraná.	Molecules\VE0RFA0AF.mol	204.35	C15H24	5239	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 168.	2012-7-8	2014-22-30	9:17:0	Natural
VE0SFA0AF	Beta-selineno	(4aR,7R,8aR)-4a-methyl-1-methylidene-7-(propan-2-yl)-decahydronaphthalene	COCHLOSPERMACEAE	Cochlospermum regium (Schrank) Pilger	CC(C)[C@@H]1CC[C@@]2(C)CCCC(=C)[C@H]2C1	0	0	Antibacterial, antifungal, mosluscicida and stimulating effect of uterine musculature.	Ocorre no cerrado e na caatinga, sendo citada para Mato grosso, Goiás, Minas Gerais, São Paulo, Paraná.	Molecules\VE0SFA0AF.mol	206.37	C15H26	5709	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 168.	2012-7-8	2014-22-30	9:17:21	Natural
VE0TFA0AF	Ácido elágico	6,7,13,14-tetrahydroxy-2,9- dioxatetracyclo[6.6. 2.04,16.011,15]hexadeca-(14),4(16),5,7,11(15) ,12-hexaene-3,10-dione	COCHLOSPERMACEAE	Cochlospermum regium (Schrank) Pilger	OC1=CC2=C3C(OC(=O)C4=C3C(OC2=O)=C(O)C(O)=C4)=C1O	6	4	Antibacterial, antifungal, mosluscicida and stimulating effect of uterine musculature.	Ocorre no cerrado e na caatinga, sendo citada para Mato grosso, Goiás, Minas Gerais, São Paulo, Paraná.	Molecules\VE0TFA0AF.mol	302.19	C14H6O8	943	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 169.	2012-7-8	2014-22-30	9:17:38	Natural
VE0UFA0AF	Kaempferol 2	3,5,7-trihydroxy-2-(4-hydroxyphenyl)-4H-chromen-4-one 2	COCHLOSPERMACEAE	Cochlospermum regium (Schrank) Pilger	OC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C=C2O1	5	4	Antibacterial, antifungal, mosluscicida and stimulating effect of uterine musculature.	Ocorre no cerrado e na caatinga, sendo citada para Mato grosso, Goiás, Minas Gerais, São Paulo, Paraná.	Molecules\VE0UFA0AF.mol	286.24	C15H10O6	2172	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 169.	2012-7-8	2014-22-30	9:17:54	Natural
VE0VFA0AF	Quercetina	2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-4H- chromen-4-one 	COCHLOSPERMACEAE	Cochlospermum regium (Schrank) Pilger	OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC=C(O)C(O)=C2)=C1	6	5	Antibacterial, antifungal, mosluscicida and stimulating effect of uterine musculature.	Ocorre no cerrado e na caatinga, sendo citada para Mato grosso, Goiás, Minas Gerais, São Paulo, Paraná.	Molecules\VE0VFA0AF.mol	302.24	C15H10O7	1683	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 169.	2012-7-8	2014-22-30	9:18:11	Natural
VE0XFA0AF	Ácido gentisico	2,5-dihydroxybenzoic acid	COCHLOSPERMACEAE	Cochlospermum vitifolium (Willd.) Spreng.	OC(=O)C1=C(O)C=CC(O)=C1	4	3	 Anesthetic, diuretic, stimulant and hypothermic effect of uterine muscle.	Ocorre do México ao Peru, Venezuela, Caribe, Brasil e Bolívia. No Brasil ocorre em Roraima, Amapá, Pará, Maranhão, Piauí, Ceará, Rio Grande do Norte, Paraíba, Pernambuco, Bahia.	Molecules\VE0XFA0AF.mol	154.12	C7H6O4	1367	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 170.	2012-7-8	2014-23-6	9:34:37	Natural
VE0ZFA0AF	Apigenina	3,5-dihydroxy-2-(4-hydroxyphenyl)-7-methyl-4H- chromen-4-one 	COCHLOSPERMACEAE	Cochlospermum vitifolium (Willd.) Spreng.	CC1=CC(O)=C2C(=O)C(O)=C(OC2=C1)C1=CC=C(O)C=C1	4	3	 Anesthetic, diuretic, stimulant and hypothermic effect of uterine muscle.	Ocorre do México ao Peru, Venezuela, Caribe, Brasil e Bolívia. No Brasil ocorre em Roraima, Amapá, Pará, Maranhão, Piauí, Ceará, Rio Grande do Norte, Paraíba, Pernambuco, Bahia.	Molecules\VE0ZFA0AF.mol	284.26	C16H12O5	3.1	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 170.	2012-7-8	2014-23-6	9:35:10	Natural
VE0AGA0AF	Naringenina	(2S)-5,7-dihydroxy-2-(4-hydroxyphenyl)-3,4-dihydro- 2H-1-benzopyran-4-one 	COCHLOSPERMACEAE	Cochlospermum vitifolium (Willd.) Spreng.	OC1=CC=C(C=C1)[C@@H]1CC(=O)C2=C(O)C=C(O)C=C2O1	4	3	 Anesthetic, diuretic, stimulant and hypothermic effect of uterine muscle.	Ocorre do México ao Peru, Venezuela, Caribe, Brasil e Bolívia. No Brasil ocorre em Roraima, Amapá, Pará, Maranhão, Piauí, Ceará, Rio Grande do Norte, Paraíba, Pernambuco, Bahia.	Molecules\VE0AGA0AF.mol	272.25	C15H12O5	2117	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 170.	2012-7-8	2014-23-6	9:35:30	Natural
VE0BGA0AF	Taxifolina	(2R,3R)-2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy- 3,4-dihydro-2H-1-benzopyran-4-one 	COCHLOSPERMACEAE	Cochlospermum vitifolium (Willd.) Spreng.	O[C@@H]1[C@H](OC2=CC(O)=CC(O)=C2C1=O)C1=CC=C(O)C(O)=C1	6	5	 Anesthetic, diuretic, stimulant and hypothermic effect of uterine muscle.	Ocorre do México ao Peru, Venezuela, Caribe, Brasil e Bolívia. No Brasil ocorre em Roraima, Amapá, Pará, Maranhão, Piauí, Ceará, Rio Grande do Norte, Paraíba, Pernambuco, Bahia.	Molecules\VE0BGA0AF.mol	304.25	C15H12O7	712	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 170.	2012-7-8	2014-23-6	9:35:45	Natural
VE0CGA0AF	Capsantina	(2E,4E,6E,8E,10E,12E,14E,16E,18E)-1-[(1R,4S)-4- hydroxy-1,2,2-trimethylcyclopentyl]-19-[(4S)-4- hydroxy-2,6,6-trimethylcyclohex-1-en-1-yl]- 4,8,13,17-tetramethylnonadeca- 2,4,6,8,10,12,14,16,18-nonaen-1-one 	COCHLOSPERMACEAE	Cochlospermum vitifolium (Willd.) Spreng.	O[C@H]1CC(C)(C)[C@@](C)(C1)C(=O)\C=C\C(\C)=C\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C\C1=C(C)C[C@H](O)CC1(C)C	3	2	 Anesthetic, diuretic, stimulant and hypothermic effect of uterine muscle.	Ocorre do México ao Peru, Venezuela, Caribe, Brasil e Bolívia. No Brasil ocorre em Roraima, Amapá, Pará, Maranhão, Piauí, Ceará, Rio Grande do Norte, Paraíba, Pernambuco, Bahia.	Molecules\VE0CGA0AF.mol	584.88	C40H56O3	9028	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 171.	2012-7-8	2014-23-6	9:36:2	Natural
VE0DGA0AF	N,O-dimetilbuchenavianina	7-hydroxy-5-methoxy-6-[(2S)-1-methylpiperidin-2- yl]-2-phenyl-4H-chromen-4-one 	COMBRETACEAE 	Buchenavia capitata (Vahl) Eichler	COC1=C([C@@H]2CCCCN2C)C(O)=CC2=C1C(=O)C=C(O2)C1=CC=CC=C1	2	1	Antiviral.	Ocorre na América do Sul e nas Antilhas. No Brasil é citada para os Carrascos de Minas Gerais, Piauí, Amazonas, Pará.	Molecules\VE0DGA0AF.mol	365.42	C22H23NO4	4509	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 174.	2012-7-8	2014-27-1	9:22:35	Natural
VE0EGA0AF	Buchenavianina	5,7-dihydroxy-2-[(4R)-4-hydroxycyclohexa-1,5-dien-1- yl]-6-[(2S)-1-methylpiperidin-2-yl]-4H-chromen-4- one 	COMBRETACEAE	Buchenavia capitata (Vahl) Eichler	CN1CCCC[C@H]1C1=C(O)C2=C(OC(=CC2=O)C2=CC[C@@H](O)C=C2)C=C1O	4	3	Antiviral.	Ocorre na América do Sul e nas Antilhas. No Brasil é citada para os Carrascos de Minas Gerais, Piauí, Amazonas, Pará.	Molecules\VE0EGA0AF.mol	369.41	C21H23NO5	2.79	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 174.	2012-7-8	2014-22-30	9:20:53	Natural
VE0FGA0AF	Capitavina	5,7-dihydroxy-2-[(4R)-4-hydroxycyclohexa-1,5-dien-1- yl]-6-[(2S)-1-methylpiperidin-2-yl]-4H-chromen-4- one  2	COMBRETACEAE	Buchenavia capitata (Vahl) Eichler	CN1CCCC[C@H]1C1=C(O)C2=C(OC(=CC2=O)C2=CC[C@@H](O)C=C2)C=C1O	4	3	Antiviral.	Ocorre na América do Sul e nas Antilhas. No Brasil é citada para os Carrascos de Minas Gerais, Piauí, Amazonas, Pará.	Molecules\VE0FGA0AF.mol	369.41	C21H23NO5	2.79	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 174.	2012-7-8	2014-22-30	9:21:5	Natural
VE0GGA0AF	4-hidroxicapitavina	(2S)-5,7-dihydroxy-2-(4-hydroxyphenyl)-6-[(2S)-1- methylpiperidin-2-yl]-3,4-dihydro-2H-1-benzopyran-4- one 	COMBRETACEAE	Buchenavia capitata (Vahl) Eichler	CN1CCCC[C@H]1C1=C(O)C2=C(O[C@@H](CC2=O)C2=CC=C(O)C=C2)C=C1O	4	3	Antiviral.	Ocorre na América do Sul e nas Antilhas. No Brasil é citada para os Carrascos de Minas Gerais, Piauí, Amazonas, Pará.	Molecules\VE0GGA0AF.mol	369.41	C21H23NO5	3.2	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 175.	2012-7-8	2014-22-30	9:21:21	Natural
VE0IGA0AF	Estigmastano-3β,6α-diol	(1S,2R,5S,7S,8S,10S,11R,14R,15R)-14-[(2R,5R)-5- ethyl-6-methylheptan-2-yl]-2,15- dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecane- 5,8-diol	COMBRETACEAE	Terminalia glabrescens Mart.	CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@H]3C[C@H](O)[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C	2	2	No information.	Espécie citada para Bahia, São Paulo, Minas Gerais, Goiás, Mato Grosso do Sul, Norte do Paraná, ocorre em floresta semidecídua.	Molecules\VE0IGA0AF.mol	432.72	C29H52O2	8.12	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 178.	2012-7-8	2014-22-30	9:21:42	Natural
VE0JGA0AF	(+) catechol	(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-1- benzopyran-3,5,7-triol 	COMBRETACEAE	Terminalia glabrescens Mart.	O[C@H]1CC2=C(O)C=C(O)C=C2O[C@@H]1C1=CC(O)=C(O)C=C1	6	5	No information.	Espécie citada para Bahia, São Paulo, Minas Gerais, Goiás, Mato Grosso do Sul, Norte do Paraná, ocorre em floresta semidecídua.	Molecules\VE0JGA0AF.mol	290.26	C15H14O6	1369	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 178.	2012-7-15	2014-22-30	9:22:3	Natural
VE0KGA0AF	Ipangulina A	[(1R,7R,7aR)-7-[(2-phenylacetyl)oxy]-hexahydro-1H- pyrrolizin-1-yl]methyl (2S,3S)-2,3-dihydroxy-2- methylbutanoate 	CONVOLVULACEAE	Ipomoea hederifolia L.	C[C@H](O)[C@](C)(O)C(=O)OC[C@@H]1CCN2CC[C@@H](OC(=O)CC3=CC=CC=C3)[C@@H]12	4	2	No information.	Distribui-se por toda a região tropical e subtropical, apesar de nativa da América. Hojé é subespontânea em diferentes regiões do globo, tem sido introduzida como ornamental, apresentando-se bem representada no semiárido. É bem caracterizada pelas flores, cujas pequenas sépalas apresentam um rostro subapical e a corola possui um longo estreito com o limbo expandido, plano e intensamente vermelho, e o estilete e filetes e exsertos.	Molecules\VE0KGA0AF.mol	391.46	C21H29NO6	2012	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 186.	2012-7-15	2014-28-10	14:40:50	Natural
VE0LGA0AF	IsoipangulinaB	(1R,7S,7aS)-7-({[(2R,3S)-2,3-dihydroxy-2- methylbutanoyl]oxy}methyl)-hexahydro-1H-pyrrolizin-1- yl 2-hydroxybenzoate 	CONVOLVULACEAE	Ipomoea hederifolia L.	C[C@H](O)[C@@](C)(O)C(=O)OC[C@H]1CCN2CC[C@@H](OC(=O)C3=C(O)C=CC=C3)[C@H]12	5	3	No information.	Distribui-se por toda a região tropical e subtropical, apesar de nativa da América. Hojé é subespontânea em diferentes regiões do globo, tem sido introduzida como ornamental, apresentando-se bem representada no semiárido. É bem caracterizada pelas flores, cujas pequenas sépalas apresentam um rostro subapical e a corola possui um longo estreito com o limbo expandido, plano e intensamente vermelho, e o estilete e filetes e exsertos.	Molecules\VE0LGA0AF.mol	393.43	C20H27NO7	2164	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 186.	2012-7-15	2014-28-7	18:1:50	Natural
VE0MGA0AF	Ipangulina D-11	(1R,7S,7aS)-7-hydroxy-hexahydro-1H-pyrrolizin-1-yl 2- hydroxybenzoate 	CONVOLVULACEAE	Ipomoea hederifolia L.	O[C@H]1CCN2CC[C@@H](OC(=O)C3=CC=CC=C3O)[C@H]12	3	2	No information.	Distribui-se por toda a região tropical e subtropical, apesar de nativa da América. Hojé é subespontânea em diferentes regiões do globo, tem sido introduzida como ornamental, apresentando-se bem representada no semiárido. É bem caracterizada pelas flores, cujas pequenas sépalas apresentam um rostro subapical e a corola possui um longo estreito com o limbo expandido, plano e intensamente vermelho, e o estilete e filetes e exsertos.	Molecules\VE0MGA0AF.mol	263.29	C14H17NO4	1754	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 186.	2012-7-15	2014-28-7	18:2:2	Natural
VE0NGA0AF	Mandassidiona	3-methyl-2-[(2S)-5-oxo-2-(prop-1-en-2- yl)hexyl]cyclopent-2-en-1-one 	CYPERACEAE	Cyperus articulatus L.	CC(=O)CC[C@@H](CC1=C(C)CCC1=O)C(C)=C	2	0	Anticonvulsant, sedative, insecticidal, repellent effect, anti-Pseudomonas aeruginosa and anti- Staphylococcus aureus. 	A espécie é citadapara o Espirito Santo, Pernambuco e Paraíba, coletada principalmente em ambientescom água salobra.	Molecules\VE0NGA0AF.mol	234.33	C15H22O2	2809	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 188.	2012-7-15	2014-28-11	9:10:47	Natural
VE0OGA0AF	Mustacona	(1R,3S,6S,7R)-6,10-dimethyl-3-(propan-2- yl)tricyclo[5.3.1.0^{1,6}]undec-9-en-8-one	CYPERACEAE	Cyperus articulatus L.	CC(C)[C@H]1CC[C@@]2(C)[C@H]3C[C@]2(C1)C(C)=CC3=O	1	0	Anticonvulsant, sedative, insecticidal, repellent effect, anti-Pseudomonas aeruginosa and anti- Staphylococcus aureus. 	A espécie é citadapara o Espirito Santo, Pernambuco e Paraíba, coletada principalmente em ambientescom água salobra.	Molecules\VE0OGA0AF.mol	232.36	C16H24O	4518	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 188.	2012-7-15	2014-28-11	9:11:30	Natural
VE0PGA0AF	Corimbolona	(4S,4aR,6R,8aR)-4a-hydroxy-4,8a-dimethyl-6-(prop-1- en-2-yl)-decahydronaphthalen-1-one 	CYPERACEAE	Cyperus articulatus L.	C[C@H]1CCC(=O)[C@]2(C)CC[C@H](C[C@@]12O)C(C)=C	2	1	Anticonvulsant, sedative, insecticidal, repellent effect, anti-Pseudomonas aeruginosa and anti- Staphylococcus aureus. 	A espécie é citadapara o Espirito Santo, Pernambuco e Paraíba, coletada principalmente em ambientescom água salobra.	Molecules\VE0PGA0AF.mol	236.35	C15H24O2	2906	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 188.	2012-7-15	2014-28-11	9:12:6	Natural
VE0QGA0AF	α-corimbolol	(1S,4S,4aS,6R,8aS)-1,4,4a,8a-tetramethyl-6-(prop-1- en-2-yl)-decahydronaphthalene 	CYPERACEAE	Cyperus articulatus L.	C[C@H]1CC[C@H](C)[C@]2(C)C[C@@H](CC[C@@]12C)C(C)=C	0	0	Anticonvulsant, sedative, insecticidal, repellent effect, anti-Pseudomonas aeruginosa and anti- Staphylococcus aureus. 	A espécie é citadapara o Espirito Santo, Pernambuco e Paraíba, coletada principalmente em ambientescom água salobra.	Molecules\VE0QGA0AF.mol	234.42	C17H30	5672	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 188.	2012-7-15	2014-28-11	9:12:22	Natural
VE0RGA0AF	Isopatchoul-4(5)-eno-3-ona	(3R,4aS,8R,8aS)-3,8-dimethyl-5-(propan-2-ylidene)- decahydronaphthalen-1-one 	CYPERACEAE	Cyperus articulatus L	C[C@@H]1C[C@H]2[C@H]([C@H](C)CCC2=C(C)C)C(=O)C1	1	0	Anticonvulsant, sedative, insecticidal, repellent effect, anti-Pseudomonas aeruginosa and anti- Staphylococcus aureus. 	A espécie é citadapara o Espirito Santo, Pernambuco e Paraíba, coletada principalmente em ambientescom água salobra.	Molecules\VE0RGA0AF.mol	220.35	C15H24O	4134	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 188.	2012-7-15	2014-28-11	9:12:42	Natural
VE0SGA0AF	Articulol	(1R,3R,4aS,8S,8aR)-3,8-dimethyl-5-(propan-2- ylidene)-decahydronaphthalen-1-ol 	CYPERACEAE	Cyperus articulatus L.	C[C@H]1C[C@@H](O)[C@@H]2[C@@H](C)CCC([C@H]2C1)=C(C)C	1	1	Anticonvulsant, sedative, insecticidal, repellent effect, anti-Pseudomonas aeruginosa and anti- Staphylococcus aureus. 	A espécie é citadapara o Espirito Santo, Pernambuco e Paraíba, coletada principalmente em ambientescom água salobra.	Molecules\VE0SGA0AF.mol	222.37	C15H25O	4.32	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 188.	2012-7-15	2014-28-11	9:12:56	Natural
VE0TGA0AF	Copaenol	(1S,2R,6R,7R,8S)-1,3-dimethyl-8-(propan-2- yl)tricyclo[4.4.0.0^{2,7}]dec-3-ene	CYPERACEAE	Cyperus articulatus L.	CC(C)[C@@H]1CC[C@@]2(C)[C@@H]3CC=C(C)[C@H]2[C@H]13	0	0	Anticonvulsant, sedative, insecticidal, repellent effect, anti-Pseudomonas aeruginosa and anti- Staphylococcus aureus. 	A espécie é citadapara o Espirito Santo, Pernambuco e Paraíba, coletada principalmente em ambientescom água salobra.	Molecules\VE0TGA0AF.mol	204.35	C15H24	5748	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 188.	2012-7-15	2014-28-11	9:13:14	Natural
VE0UGA0AF	Mircenal	2-[(1R,5S)-6,6-dimethylbicyclo[3.1.1]hept-2-en-2- yl]acetaldehyde 	CYPERACEAE	Cyperus articulatus L.	CC1(C)[C@@H]2C[C@H]1C(CC=O)=CC2	1	0	Anticonvulsant, sedative, insecticidal, repellent effect, anti-Pseudomonas aeruginosa and anti- Staphylococcus aureus. 	A espécie é citadapara o Espirito Santo, Pernambuco e Paraíba, coletada principalmente em ambientescom água salobra.	Molecules\VE0UGA0AF.mol	164.24	C11H16O	3024	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 188.	2012-7-15	2014-28-11	9:13:28	Natural
VE0VGA0AF	Mircenol	2-[(1R,5S)-6,6-dimethylbicyclo[3.1.1]hept-2-en-2- yl]ethan-1-ol 	CYPERACEAE	Cyperus articulatus L.	CC1(C)[C@@H]2C[C@H]1C(CCO)=CC2	1	1	Anticonvulsant, sedative, insecticidal, repellent effect, anti-Pseudomonas aeruginosa and anti- Staphylococcus aureus. 	A espécie é citadapara o Espirito Santo, Pernambuco e Paraíba, coletada principalmente em ambientescom água salobra.	Molecules\VE0VGA0AF.mol	166.26	C11H18O	2571	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 188.	2012-7-15	2014-28-11	9:13:44	Natural
VE0WGA0AF	Cocaina	methyl (1S,2R,3S,5R)-3-(benzoyloxy)-8-methyl-8- azabicyclo[3.2.1]octane-2-carboxylate 	CYPERACEAE	Cyperus articulatus L.	COC(=O)[C@@H]1[C@@H]2CC[C@H](C[C@@H]1OC(=O)C1=CC=CC=C1)N2C	2	0	Anticonvulsant, sedative, insecticidal, repellent effect, anti-Pseudomonas aeruginosa and anti- Staphylococcus aureus. 	A espécie é citadapara o Espirito Santo, Pernambuco e Paraíba, coletada principalmente em ambientes com água salobra.	Molecules\VE0WGA0AF.mol	303.35	C17H21NO4	2867	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 199.	2012-7-15	2014-28-11	9:13:56	Natural
